#{"t_start": 1775745578.0254052, "env_id": "None"}
r,l,t
-3.966115,47,7.320365
-5.997013,47,7.360402
-24.045782,47,7.402233
10.897291,47,7.441581
23.161766,47,7.480361
176.1,47,7.518139
7.314848,47,7.562133
38.399334,47,7.604104
24.209039,47,7.64542
29.726017,47,7.68179
26.448166,47,7.726421
-13.404731,47,7.764411
25.903818,47,7.804014
43.368486,47,7.842151
36.366339,47,7.886599
55.560602,47,7.927757
56.015075,47,7.968343
23.05,47,8.007139
41.367136,47,8.049542
73.0,47,8.090884
76.2,47,8.135118
50.647336,47,8.172921
67.2,47,8.217139
37.820143,47,8.258176
111.523306,47,8.298299
110.288569,47,8.335984
98.65,47,8.381228
-128.196844,47,8.422855
-2671.904613,47,8.461514
51.936014,47,8.499648
104.465979,47,8.543069
32.9,47,8.581731
14.931327,47,8.622363
26.05,47,8.66288
36.15,47,8.70714
-5.648496,47,8.744351
26.1,47,8.785321
31.35,47,8.824066
29.2,47,8.867601
24.4,47,8.910192
19.0,47,8.94925
4.534769,47,8.985469
-34.56411,47,9.030152
16.8,47,9.07176
29.6,47,9.111486
15.3,47,9.14912
-4.791753,47,9.19522
31.2,47,9.238206
12.3,47,9.277869
-81.642757,47,9.317223
-2.200183,47,9.361295
-14.26679,47,9.401507
13.2,47,9.442988
-11.449872,47,9.482283
77.95,47,9.526895
30.9,47,9.569346
61.25,47,9.609231
53.65,47,9.645138
53.6,47,9.691398
40.437241,47,9.733042
56.35,47,9.774387
51.398605,47,9.812638
100.1,47,9.855213
-275.286749,47,9.894911
31.2,47,9.935066
-556.895998,47,9.977682
-816.052623,47,10.021574
89.090053,47,10.061246
73.2,47,10.101239
58.2,47,10.13958
89.3,47,10.183095
-39.208072,47,10.226064
-15.385044,47,10.265089
10.75,47,10.302943
-7.540093,47,10.348361
20.45,47,10.388306
14.2,47,10.426694
-4.973136,47,10.465242
-22.495493,47,10.511861
7.0,47,10.553888
72.75,47,10.593334
6.583539,47,10.631267
6.9,47,10.675911
24.447986,47,10.716115
49.35,47,10.760427
61.1,47,10.797243
-5.155133,47,10.842249
81.05,47,10.882244
7.05,47,10.921671
27.07203,47,10.96136
-74.910902,47,11.004357
33.679529,47,11.045524
42.95,47,11.088229
8.05,47,11.126048
4.5,47,11.169287
4.2,47,11.208575
-173.016234,47,11.2531
96.3,47,11.292248
23.784793,47,11.335882
28.3,47,11.376052
17.159512,47,11.419187
4.6,47,11.455295
-91.362074,47,11.499347
68.35,47,11.545006
13.45,47,11.586129
-142.691645,47,11.626226
-227.211192,47,11.672288
42.489957,47,11.710331
99.8,47,11.751235
75.25,47,11.792983
6.450419,47,11.840283
-1.620998,47,11.879759
16.8,47,11.923893
-22.944706,47,11.962259
13.7,47,12.010333
31.8,47,12.054243
10.25,47,12.0959
8.4,47,12.132999
5.1,47,12.179666
16.15,47,12.219386
-2.615856,47,12.258519
22.05,47,12.299345
-2.4,47,12.345442
17.75,47,12.386266
13.95,47,12.428111
17.0,47,12.467302
28.05,47,12.5103
54.75,47,12.557201
42.35,47,12.600395
42.55,47,12.639298
54.415982,47,12.686352
61.3,47,12.727138
157.25,47,12.765454
64.55,47,12.808138
35.505466,47,12.85532
35.475881,47,12.896036
49.095624,47,12.938887
52.75,47,12.975684
24.201504,47,13.025363
35.15,47,13.07121
36.1,47,13.11215
42.45,47,13.151363
48.2,47,13.198472
51.213899,47,13.238337
14.85,47,13.278976
41.25,47,13.316746
75.45,47,13.367489
76.9,47,13.414967
43.6,47,13.454883
53.5,47,13.493
95.55,47,13.537186
88.637072,47,13.578569
111.483603,47,13.625281
75.45,47,13.664188
-27.18973,47,13.710753
-1179.506237,47,13.751405
53.322278,47,13.791394
106.0,47,13.830248
38.25,47,13.878519
25.193319,47,13.920061
31.0,47,13.960424
30.55,47,14.003111
35.55,47,14.052984
-0.082059,47,14.094121
2.701061,47,14.138889
7.929846,47,14.179646
17.55,47,14.228116
13.72757,47,14.268581
-17.564409,47,14.30819
-40.10848,47,14.348137
-71.605312,47,14.401261
-48.141294,47,14.441326
16.35,47,14.481751
16.0,47,14.523023
8.55,47,14.570404
-67.851031,47,14.609243
-166.846585,47,14.654304
-66.070894,47,14.694925
10.263979,47,14.741691
-47.211449,47,14.782314
9.75,47,14.821427
75.05,47,14.863883
17.35,47,14.913296
49.501548,47,14.954268
64.7,47,14.99817
69.75,47,15.040424
61.3,47,15.086344
51.788598,47,15.127234
52.55,47,15.171357
93.95,47,15.211938
-430.565063,47,15.257844
22.019089,47,15.300441
-641.009811,47,15.340999
-1494.615759,47,15.37867
78.8,47,15.428385
62.55,47,15.473962
48.45,47,15.519449
91.35,47,15.560276
13.65,47,15.609214
33.45,47,15.65331
-61.017908,47,15.697097
5.5,47,15.737651
14.305169,47,15.784338
26.0,47,15.826035
29.4,47,15.866359
29.298107,47,15.907185
7.2,47,15.957921
65.1,47,16.00089
-38.05961,47,16.043284
-40.075514,47,16.082962
16.186459,47,16.129907
39.4,47,16.177666
19.886379,47,16.218139
-32.263511,47,16.258452
75.5,47,16.305161
6.411856,47,16.346663
25.858407,47,16.3874
13.65,47,16.427283
69.7,47,16.477633
49.0,47,16.51936
-35.389797,47,16.5649
7.0,47,16.603054
4.05,47,16.649445
-144.836796,47,16.69614
87.6,47,16.740188
37.65,47,16.779758
33.45,47,16.827595
46.0,47,16.868272
4.3,47,16.911343
3.904863,47,16.95319
63.3,47,16.998312
-46.638199,47,17.042284
-234.827965,47,17.086284
-16.430145,47,17.126421
19.85959,47,17.171901
87.5,47,17.216625
75.4,47,17.259701
-53.981657,47,17.298813
-71.971875,47,17.347286
-145.293642,47,17.390457
23.05,47,17.431587
40.2,47,17.473125
37.7,47,17.519496
24.45,47,17.563154
23.6,47,17.604918
16.7,47,17.647528
20.45,47,17.691764
30.170172,47,17.740281
10.9,47,17.780791
14.222383,47,17.822251
29.05,47,17.86855
18.1,47,17.911701
-55.510642,47,17.951454
34.45,47,17.995211
-101.469831,47,18.042338
8.70123,47,18.088212
65.3,47,18.129199
94.45,47,18.169228
73.5,47,18.21616
171.7,47,18.26236
64.8,47,18.307166
30.35,47,18.348618
-4.726076,47,18.395032
46.65,47,18.437108
53.6,47,18.477457
27.64449,47,18.524095
36.05,47,18.57149
44.6,47,18.61324
42.145259,47,18.659407
53.05,47,18.697472
60.85,47,18.741611
13.35,47,18.791236
57.0,47,18.833007
79.5,47,18.873357
71.95,47,18.920438
31.915837,47,18.962879
71.15,47,19.010386
79.4,47,19.050624
86.607685,47,19.099467
95.5,47,19.141894
70.451239,47,19.183033
31.533863,47,19.223076
-3157.938007,47,19.271749
63.789995,47,19.316006
80.15,47,19.3606
9.914587,47,19.40179
-3.803326,47,19.451723
38.2,47,19.491754
11.843123,47,19.537633
42.95,47,19.580773
38.3,47,19.629376
21.2,47,19.673017
-18.916065,47,19.71335
-57.224434,47,19.754177
19.1,47,19.805102
-1.591226,47,19.851308
-112.783273,47,19.891587
21.778282,47,19.935075
31.75,47,19.980926
-66.094743,47,20.027248
29.65,47,20.073037
-19.330974,47,20.11545
-64.392334,47,20.16614
9.6,47,20.207168
7.8,47,20.252962
1.911869,47,20.291718
-393.87423,47,20.341543
-118.586727,47,20.384888
66.85,47,20.430683
25.05,47,20.471308
56.05,47,20.521538
43.5,47,20.565001
27.95,47,20.6097
43.45,47,20.651658
52.652067,47,20.702231
33.5,47,20.743913
70.25,47,20.784354
-299.524553,47,20.824332
37.0,47,20.8764
-726.894314,47,20.920365
-1450.653156,47,20.964983
80.4,47,21.005068
77.25,47,21.053892
41.35,47,21.101786
70.85,47,21.146253
-342.659356,47,21.187407
15.319155,47,21.236271
-50.425381,47,21.275965
9.169966,47,21.318156
27.9,47,21.360294
18.85,47,21.409765
-13.836933,47,21.453983
34.930737,47,21.497216
17.7,47,21.536789
48.55,47,21.591029
15.738435,47,21.638383
19.199818,47,21.679356
33.676883,47,21.719389
37.306724,47,21.76665
21.740644,47,21.809345
13.65,47,21.850425
50.556982,47,21.898412
0.223896,47,21.944916
37.4,47,21.99132
13.65,47,22.036362
46.4,47,22.075965
10.35,47,22.122897
30.75,47,22.171666
-94.238561,47,22.214053
13.65,47,22.255948
-516.583844,47,22.30428
72.95,47,22.346171
37.55,47,22.38627
36.2,47,22.430307
48.7,47,22.480519
9.75,47,22.523329
-98.085418,47,22.569752
71.65,47,22.608769
11.65,47,22.66055
-316.277419,47,22.704022
-119.489976,47,22.74605
45.6,47,22.786672
84.15,47,22.83411
81.8,47,22.877121
-60.213361,47,22.921493
-27.778588,47,22.96191
5.05253,47,23.010633
28.5,47,23.055251
37.25,47,23.09638
-1.613014,47,23.137427
-10.063496,47,23.186777
31.9,47,23.230526
29.85,47,23.275412
-17.678984,47,23.31599
26.75,47,23.360402
23.7,47,23.401633
13.5,47,23.449193
-23.42243,47,23.491693
27.85,47,23.54038
36.141621,47,23.584992
34.75,47,23.626062
39.4,47,23.664199
51.2,47,23.716775
45.7,47,23.760785
90.85,47,23.803876
75.8,47,23.847513
154.55,47,23.892209
56.3,47,23.932047
23.402648,47,23.979244
22.325881,47,24.022195
56.9,47,24.073322
38.65,47,24.116021
43.6,47,24.155746
24.773473,47,24.195885
28.15,47,24.248324
55.457552,47,24.291746
47.256453,47,24.332987
54.3,47,24.373171
18.35,47,24.420592
44.4,47,24.461683
52.24128,47,24.507197
77.85,47,24.547664
49.6,47,24.595957
45.95,47,24.637696
84.6,47,24.677734
97.45,47,24.720286
99.5,47,24.770673
93.1,47,24.811847
-140.832445,47,24.853889
-2197.930483,47,24.896776
63.689995,47,24.941545
64.3,47,24.981699
31.6,47,25.031583
23.851876,47,25.072878
23.963911,47,25.121468
11.68506,47,25.164171
25.107014,47,25.205042
38.85,47,25.244978
11.25,47,25.30081
36.237495,47,25.343134
24.9,47,25.385254
-27.572742,47,25.427222
8.305932,47,25.474181
19.95,47,25.516019
10.846965,47,25.564028
28.2,47,25.605432
-88.431535,47,25.651968
2.1,47,25.692362
29.55,47,25.733266
-90.41005,47,25.772928
-21.356174,47,25.824188
-34.390452,47,25.868188
15.749135,47,25.910461
-44.133034,47,25.951503
-58.451131,47,26.001288
66.1,47,26.042308
16.85,47,26.08993
48.95,47,26.130384
41.65,47,26.179622
53.75,47,26.219708
41.554367,47,26.260345
58.45,47,26.30147
60.5,47,26.351302
88.0,47,26.396008
-247.761593,47,26.441506
37.95,47,26.481535
-521.701762,47,26.530284
-1078.9509,47,26.576667
74.286058,47,26.621824
72.15,47,26.664756
46.15,47,26.709291
81.7,47,26.751299
-201.295005,47,26.79182
12.1,47,26.836045
-94.789234,47,26.88439
24.252628,47,26.927327
-12.92341,47,26.969283
9.1,47,27.008297
37.5,47,27.055261
25.45,47,27.098418
-0.64507,47,27.143929
52.8,47,27.184017
-100.7985,47,27.23235
-101.381582,47,27.27333
-27.189655,47,27.315015
32.384536,47,27.358285
19.95,47,27.408266
12.75,47,27.449166
80.7,47,27.492083
-4.299161,47,27.53332
41.93846,47,27.58139
-39.874717,47,27.63035
-19.764607,47,27.67148
40.55,47,27.713922
31.65,47,27.760263
13.65,47,27.802303
-54.102342,47,27.841819
-144.836796,47,27.886612
71.0,47,27.936799
25.45262,47,27.979771
24.507596,47,28.020314
52.57514,47,28.060511
-190.858964,47,28.108701
-0.725714,47,28.154066
75.45,47,28.198105
23.55,47,28.239646
-283.673159,47,28.28808
-113.061823,47,28.328329
45.5,47,28.374061
70.464154,47,28.411651
71.75,47,28.457777
-104.293491,47,28.501341
-51.814322,47,28.541378
-170.677405,47,28.581895
35.7,47,28.631273
19.9,47,28.677001
34.7,47,28.719521
28.894772,47,28.760521
8.0,47,28.80769
-0.034889,47,28.849487
-17.514365,47,28.894202
20.93242,47,28.935538
25.049816,47,28.985096
-27.878206,47,29.027241
-28.020007,47,29.072259
-81.340776,47,29.111568
33.158999,47,29.163167
42.07069,47,29.204284
57.288312,47,29.247411
-37.482983,47,29.28649
66.2,47,29.331702
85.2,47,29.371759
76.55,47,29.41945
163.55,47,29.460442
56.1,47,29.51141
7.977578,47,29.554931
33.325881,47,29.597349
28.25,47,29.63612
61.65,47,29.689116
39.258367,47,29.733011
15.293102,47,29.775469
44.35,47,29.817127
43.707552,47,29.862897
57.3,47,29.903312
49.5,47,29.951472
32.55,47,29.996006
38.9,47,30.04302
76.3,47,30.087071
44.1,47,30.127695
49.2,47,30.168267
49.5,47,30.221416
86.8,47,30.267158
118.15,47,30.310184
96.4,47,30.352229
86.5,47,30.398468
14.813235,47,30.439889
-1179.506237,47,30.489466
59.689995,47,30.532175
102.5,47,30.58508
25.85,47,30.624298
21.334042,47,30.665372
27.4,47,30.711588
26.236375,47,30.761632
-369.334618,47,30.804304
38.423996,47,30.848514
30.15,47,30.888777
3.498894,47,30.935558
25.307588,47,30.983913
-46.459079,47,31.027321
20.062625,47,31.070664
-22.244629,47,31.121698
-52.569414,47,31.163896
22.25,47,31.204953
-50.255126,47,31.248183
8.628812,47,31.29774
28.5,47,31.339483
-34.184467,47,31.381615
-122.777453,47,31.422348
-45.509026,47,31.468678
13.945047,47,31.515805
13.65,47,31.560619
10.75,47,31.603096
65.449975,47,31.648179
-13.877621,47,31.691381
54.9,47,31.736369
49.65,47,31.777331
64.6,47,31.823245
43.35,47,31.868261
54.713245,47,31.908732
46.8,47,31.949137
73.2,47,32.005402
-247.761593,47,32.051528
-22.95113,47,32.097409
-477.67388,47,32.137631
-751.944528,47,32.183941
82.1,47,32.226682
54.3,47,32.274484
67.25,47,32.316706
82.192208,47,32.366655
10.95,47,32.409209
9.920791,47,32.450683
9.15,47,32.490256
13.2,47,32.54177
37.05,47,32.585966
23.15,47,32.631271
15.907193,47,32.673313
21.803754,47,32.718243
15.05,47,32.760726
45.85,47,32.806055
-61.089292,47,32.846215
-66.782817,47,32.896365
9.55,47,32.938153
30.946509,47,32.978288
55.05,47,33.01965
8.368503,47,33.075296
78.4,47,33.11912
13.2,47,33.165147
25.724331,47,33.201536
13.65,47,33.251678
39.862494,47,33.296023
38.7,47,33.340374
-24.903188,47,33.382932
-107.337537,47,33.429939
11.1,47,33.470468
-248.330512,47,33.513982
84.75,47,33.55836
10.884127,47,33.607292
17.65,47,33.649351
10.799056,47,33.691033
13.65,47,33.730282
11.1,47,33.776346
52.65,47,33.823923
20.122391,47,33.867218
-314.405253,47,33.90958
-282.86946,47,33.957222
37.25,47,33.998127
64.15,47,34.038735
64.764577,47,34.085071
-60.233807,47,34.134137
-132.74907,47,34.174326
-9.054468,47,34.221367
8.45,47,34.260458
23.172278,47,34.305213
20.3,47,34.354358
25.744772,47,34.39609
10.63094,47,34.439678
30.53218,47,34.489039
2.369905,47,34.529588
-24.156549,47,34.576169
7.490337,47,34.619162
16.523534,47,34.665159
13.65,47,34.711611
-14.530011,47,34.75399
17.713084,47,34.791742
11.35,47,34.840359
46.0,47,34.885254
35.95,47,34.926116
52.6,47,34.968455
75.8,47,35.014784
62.5,47,35.057323
141.7,47,35.103136
45.495597,47,35.142912
17.116029,47,35.188468
24.175881,47,35.230443
44.1,47,35.2716
38.75,47,35.311383
10.038551,47,35.361785
29.55,47,35.406025
35.15,47,35.448277
33.457552,47,35.491307
55.145127,47,35.53934
53.3,47,35.581026
-0.675098,47,35.62732
49.85,47,35.667209
61.2,47,35.714892
80.25,47,35.759732
42.1,47,35.800998
60.8,47,35.840317
79.1,47,35.89299
89.5,47,35.935447
109.75,47,35.980598
99.9,47,36.024052
72.059492,47,36.072913
-2682.795956,47,36.115423
43.789995,47,36.162445
66.25,47,36.203357
30.1,47,36.250888
2.198774,47,36.294172
38.1,47,36.333961
8.1,47,36.371613
33.75,47,36.420291
14.65,47,36.464043
12.85,47,36.50722
-41.619679,47,36.549749
13.65,47,36.597723
18.75,47,36.638689
14.1,47,36.684972
13.65,47,36.728381
-16.3253,47,36.77598
25.3,47,36.818308
12.75,47,36.861628
4.309546,47,36.903043
10.75,47,36.952992
13.65,47,36.995437
-120.333002,47,37.039343
-231.575999,47,37.079317
33.15,47,37.128139
-52.810217,47,37.168434
12.1,47,37.213151
33.15,47,37.258272
5.75,47,37.309301
43.7,47,37.348533
56.4,47,37.393156
17.244282,47,37.430202
34.6,47,37.482966
61.55,47,37.528906
50.05,47,37.573225
65.45,47,37.614568
-250.011593,47,37.661571
4.6,47,37.705434
-633.984135,47,37.749376
-1378.38786,47,37.789365
81.95,47,37.840846
76.6,47,37.881711
44.4,47,37.921718
54.4,47,37.960358
-52.15313,47,38.013937
19.65,47,38.058034
-259.361701,47,38.101342
14.9,47,38.141697
12.936726,47,38.188266
23.209595,47,38.235836
37.85,47,38.280578
-13.72114,47,38.321721
-62.526676,47,38.371229
61.55,47,38.413266
21.3,47,38.455021
9.2,47,38.501568
25.85,47,38.551349
40.334536,47,38.595486
10.9635,47,38.638537
-135.16123,47,38.678163
93.15,47,38.725504
8.15,47,38.773192
30.2,47,38.8141
-13.321119,47,38.855405
6.183601,47,38.903012
12.3,47,38.941546
18.15,47,38.987231
13.65,47,39.034055
11.1,47,39.083045
-144.836796,47,39.127122
73.7,47,39.170397
15.7,47,39.210874
35.65,47,39.261257
40.65,47,39.306732
9.9,47,39.350508
-97.93286,47,39.391279
52.257945,47,39.436316
-92.669168,47,39.478975
-378.734538,47,39.526286
-157.770482,47,39.569501
29.8,47,39.618728
94.4,47,39.660275
68.15,47,39.702893
-34.289424,47,39.741637
-4.775737,47,39.793338
-148.858358,47,39.836257
15.9,47,39.880507
-37.74662,47,39.920321
27.15,47,39.967247
10.894772,47,40.007756
-41.797918,47,40.055143
9.9,47,40.098807
9.569905,47,40.146134
-62.567412,47,40.188626
13.540337,47,40.229244
5.622383,47,40.26815
2.057344,47,40.320408
0.458596,47,40.363895
-28.944439,47,40.406133
-11.719193,47,40.448164
49.65,47,40.495274
35.75,47,40.540192
50.75,47,40.586135
81.85,47,40.627168
60.9,47,40.674053
131.65,47,40.718212
57.9,47,40.75932
23.65,47,40.799174
8.925881,47,40.85397
36.8,47,40.895184
38.75,47,40.940443
59.1,47,40.98146
20.85,47,41.032259
32.95,47,41.080408
33.507552,47,41.122309
56.045127,47,41.163096
40.55,47,41.210908
6.87812,47,41.251566
44.3,47,41.295132
62.3,47,41.340428
65.976431,47,41.390494
34.75,47,41.431574
55.9,47,41.473373
87.45,47,41.517364
84.35,47,41.565155
94.9,47,41.614081
64.085466,47,41.657175
56.064832,47,41.695949
-1710.917792,47,41.742366
54.239995,47,41.783149
75.8,47,41.826053
22.8,47,41.869799
-33.006518,47,41.919439
26.35,47,41.963036
13.25,47,42.003979
20.65,47,42.04227
19.5,47,42.091537
18.3,47,42.138789
10.313786,47,42.180511
13.65,47,42.22322
-10.243175,47,42.270249
11.1,47,42.31086
13.2,47,42.351551
4.343482,47,42.396794
18.75,47,42.446327
5.179496,47,42.490644
7.628812,47,42.532253
13.2,47,42.572922
10.557412,47,42.627281
12.3,47,42.670975
11.85,47,42.714076
37.15,47,42.756342
13.65,47,42.805
-50.719219,47,42.844965
18.0,47,42.889707
11.2,47,42.929697
45.4,47,42.976006
50.15,47,43.019861
28.15,47,43.059571
32.3,47,43.100273
17.65,47,43.148745
56.35,47,43.193025
58.3,47,43.234951
-502.212118,47,43.277165
11.85,47,43.324159
-610.790261,47,43.36615
-963.207915,47,43.414201
81.25,47,43.457405
32.55,47,43.501856
61.05,47,43.544366
89.3,47,43.587262
-52.753834,47,43.628215
12.1,47,43.679244
-90.926352,47,43.721879
23.1,47,43.764201
28.95,47,43.807169
6.1,47,43.851618
31.45,47,43.893146
14.582376,47,43.938253
