#{"t_start": 1776083382.0690448, "env_id": "None"}
r,l,t
-207.505585,47,7.589079
-871.86885,47,7.631432
-1371.924088,47,7.674719
-929.783815,47,7.7156
-931.106538,47,7.754312
-691.043612,47,7.795503
-688.859354,47,7.841205
-1289.534368,47,7.882545
-1116.791584,47,7.924414
-1039.938094,47,7.963363
-860.282123,47,8.007868
-922.018053,47,8.046564
-204.453118,47,8.089092
-420.699435,47,8.129586
-67.814013,47,8.17243
27.5,47,8.211218
-106.835136,47,8.251504
35.05,47,8.291613
-141.84052,47,8.333622
-321.471261,47,8.373604
-204.455795,47,8.419551
-17.051452,47,8.458693
-137.383506,47,8.500217
-96.226144,47,8.544192
-95.806057,47,8.589256
-69.020115,47,8.624049
26.207552,47,8.667499
3.279415,47,8.707244
-216.959207,47,8.752128
-745.842796,47,8.790911
-383.200501,47,8.836397
7.484762,47,8.87739
-64.921068,47,8.920045
-313.434919,47,8.963632
-66.232308,47,9.01072
28.844318,47,9.052445
21.181601,47,9.096707
59.45,47,9.138372
45.035466,47,9.1814
-28.869691,47,9.223087
-7555.631638,47,9.264788
8.789995,47,9.305962
23.0,47,9.349597
-185.526247,47,9.391651
-326.740824,47,9.433048
-302.462171,47,9.475115
-1057.141321,47,9.521848
-1078.919436,47,9.561565
-340.112774,47,9.601614
-373.315716,47,9.64448
-341.198082,47,9.684718
-514.625897,47,9.726377
-683.161478,47,9.773039
-760.472485,47,9.813047
-607.262353,47,9.860421
-515.703713,47,9.906633
-314.488377,47,9.952303
-606.008146,47,9.992001
-332.666955,47,10.037817
-578.974959,47,10.082853
-1717.746503,47,10.129028
-1925.890693,47,10.170267
-2188.706489,47,10.214259
-27.540756,47,10.255794
-1462.242306,47,10.301708
-1251.335257,47,10.344808
-98.614549,47,10.38429
-259.003231,47,10.42784
-17.565907,47,10.474123
-149.368572,47,10.515037
-143.709254,47,10.559486
-54.583101,47,10.607761
-130.570195,47,10.652991
-31.984631,47,10.694476
-12.088304,47,10.737586
-3453.754016,47,10.780388
-259.446453,47,10.825522
-5291.627727,47,10.867019
-5498.244973,47,10.916244
33.15,47,10.959473
28.85,47,11.00252
-12.310625,47,11.047902
27.9,47,11.094817
-1561.654305,47,11.144425
-356.68079,47,11.186372
-1761.298273,47,11.224353
-422.331221,47,11.270495
-333.865814,47,11.319046
-283.488891,47,11.364142
-100.026264,47,11.406142
-105.105399,47,11.454986
-1199.455162,47,11.496733
-40.002945,47,11.542272
-322.125377,47,11.587507
-1005.297386,47,11.635451
-114.847136,47,11.680448
-175.744517,47,11.729155
-112.322747,47,11.771165
-1807.807199,47,11.816976
-55.182474,47,11.866699
-515.154935,47,11.912045
-364.982182,47,11.956666
-1310.049311,47,12.00543
-28.78375,47,12.049849
-96.599646,47,12.099673
-388.769067,47,12.144403
-1057.324903,47,12.194049
-1128.001898,47,12.236518
-2994.699441,47,12.283381
31.85,47,12.324558
-129.175624,47,12.373022
-325.00046,47,12.418334
4.274224,47,12.464339
-1059.066237,47,12.507075
-941.60766,47,12.554922
31.656069,47,12.604136
-965.61605,47,12.650229
-2248.862328,47,12.69198
-707.899316,47,12.740812
-284.854154,47,12.783604
23.843818,47,12.827786
-27.331048,47,12.870216
-697.705909,47,12.920897
-330.329374,47,12.972295
-598.682677,47,13.018731
-600.021524,47,13.062428
-354.518189,47,13.110445
-77.607871,47,13.156221
-929.886944,47,13.202145
-1283.255475,47,13.242768
-432.070176,47,13.289732
-872.163379,47,13.338748
-612.805641,47,13.384375
-279.801753,47,13.433202
-430.006123,47,13.483497
-647.930001,47,13.530818
-1350.854683,47,13.577969
-143.743058,47,13.624916
-545.365113,47,13.673645
-166.785178,47,13.719602
-17.231026,47,13.770759
-202.380927,47,13.815109
36.65,47,13.864298
2.494618,47,13.910991
30.4,47,13.956953
-9.877712,47,13.998106
-76.057656,47,14.045687
-188.832901,47,14.091072
-11.195359,47,14.140988
-23.12051,47,14.187536
-40.028907,47,14.234234
-124.943859,47,14.282104
-107.194616,47,14.334586
7.928729,47,14.378587
-0.206119,47,14.422673
33.95,47,14.4704
-377.630514,47,14.512738
-205.612702,47,14.556966
13.602687,47,14.606421
7.898385,47,14.650028
-269.573434,47,14.700462
22.702579,47,14.745293
36.8,47,14.800294
18.851509,47,14.84608
28.718149,47,14.89056
32.5,47,14.934118
-85.056002,47,14.982765
-6797.17931,47,15.028095
-30.089937,47,15.07322
48.277122,47,15.119696
-126.138651,47,15.169078
-89.06686,47,15.218209
-244.041868,47,15.262758
-106.141664,47,15.309401
-207.573296,47,15.363614
-122.626459,47,15.412059
-51.751237,47,15.460849
-251.330051,47,15.502836
-167.98609,47,15.55467
-503.846881,47,15.601235
-375.598998,47,15.648984
-400.830806,47,15.69598
-265.234459,47,15.749045
-178.096694,47,15.79749
-314.879543,47,15.846893
-463.21432,47,15.892441
-375.472591,47,15.942865
-890.414272,47,15.993238
-1007.488787,47,16.039841
-1375.67404,47,16.083934
-67.248202,47,16.135086
-1465.741005,47,16.184736
-1123.679129,47,16.232198
26.1,47,16.278796
-227.272519,47,16.328157
31.05,47,16.376096
25.4,47,16.4253
-22.875251,47,16.47396
-70.777094,47,16.525218
-85.488418,47,16.573914
23.8,47,16.622332
1.478571,47,16.663596
-1719.174229,47,16.716063
-99.308956,47,16.767732
-5226.380827,47,16.817297
-4188.320272,47,16.863996
50.7,47,16.913626
25.894521,47,16.96276
39.05,47,17.014694
52.25,47,17.062222
-1331.0632,47,17.111077
-160.149275,47,17.162602
-1122.592181,47,17.212228
-214.562515,47,17.257471
-61.110527,47,17.31164
-111.407417,47,17.362605
-63.551087,47,17.410312
-134.578892,47,17.454779
-768.775998,47,17.503932
8.622808,47,17.552554
-361.533247,47,17.600992
-785.438252,47,17.648498
-133.682175,47,17.697293
-31.564935,47,17.745798
-85.341718,47,17.794963
-1500.833442,47,17.844305
-14.049426,47,17.894369
-236.231435,47,17.947407
-263.448997,47,17.99892
-894.79617,47,18.044636
-44.223071,47,18.09317
-270.28218,47,18.13773
-423.187474,47,18.184696
-561.689934,47,18.231418
-261.367759,47,18.284103
-3164.798763,47,18.332139
52.683621,47,18.38104
13.95,47,18.432202
-163.844357,47,18.481859
-87.947358,47,18.534469
-637.57796,47,18.586166
-1187.411266,47,18.632142
-16.43469,47,18.681183
-869.95838,47,18.726678
-1558.006433,47,18.778936
-431.588548,47,18.828554
-55.535665,47,18.881075
22.239977,47,18.928252
44.3,47,18.978994
-485.212013,47,19.026345
-589.118441,47,19.077229
-550.993466,47,19.126227
-529.071533,47,19.176836
-295.756605,47,19.219904
-97.117226,47,19.269922
-430.160964,47,19.319925
-211.703613,47,19.367915
-1016.433781,47,19.412111
-640.146156,47,19.460177
-452.878132,47,19.509598
-644.596729,47,19.56142
-583.591394,47,19.603899
-352.308067,47,19.658202
-452.146579,47,19.713518
-131.946547,47,19.763251
-514.485005,47,19.813006
-218.046526,47,19.865522
-115.791834,47,19.917163
-87.788878,47,19.968199
46.303206,47,20.020062
-88.760203,47,20.074282
64.1,47,20.125439
34.25,47,20.177392
-246.453805,47,20.254467
-34.010014,47,20.31035
-58.390059,47,20.359397
-76.16893,47,20.408623
-225.5259,47,20.458032
-112.209717,47,20.514541
8.265305,47,20.569044
27.85,47,20.622881
-0.579515,47,20.669069
38.6,47,20.724806
-166.753851,47,20.779224
-141.771975,47,20.829026
29.95,47,20.879461
33.95,47,20.928312
40.3,47,20.982639
-7.043215,47,21.035125
52.75,47,21.085023
61.3,47,21.136897
49.75,47,21.186605
4.810237,47,21.238233
-109.488492,47,21.284939
-6222.729216,47,21.339262
28.839995,47,21.389951
41.338388,47,21.440037
22.15,47,21.49246
17.65,47,21.548278
-154.605248,47,21.601266
-837.911148,47,21.653572
-397.18025,47,21.70204
12.3,47,21.758045
-109.880372,47,21.808984
-32.246211,47,21.863094
-292.95254,47,21.911226
-392.357444,47,21.966986
9.552641,47,22.017183
-284.43051,47,22.074769
-154.7602,47,22.125749
-149.483022,47,22.175745
-233.217783,47,22.228359
-290.199966,47,22.281483
-425.613854,47,22.330334
-695.013279,47,22.384542
-1213.253901,47,22.437262
-1715.176975,47,22.487986
-43.822008,47,22.539278
-1252.010823,47,22.589508
-942.91951,47,22.640239
18.488897,47,22.693431
-18.464053,47,22.742196
27.9,47,22.792475
27.75,47,22.846051
-21.426765,47,22.899213
2.47767,47,22.95289
-98.198438,47,23.011035
15.711532,47,23.066735
51.35,47,23.119694
-597.99994,47,23.172071
-26.03531,47,23.226787
-3436.55788,47,23.280409
-4340.548482,47,23.334762
27.434069,47,23.385798
41.125741,47,23.43939
32.607552,47,23.497406
72.55,47,23.549189
-1690.494556,47,23.596228
-236.095642,47,23.651073
-564.881783,47,23.709774
22.25,47,23.766555
0.516355,47,23.819175
-103.606323,47,23.875987
-106.767166,47,23.929861
-75.923108,47,23.985012
-453.580889,47,24.033969
-2.077121,47,24.089587
-194.908189,47,24.142572
-471.245203,47,24.191731
-25.719937,47,24.23908
-80.832076,47,24.295092
-1.508513,47,24.35097
-764.226424,47,24.406119
52.15,47,24.456754
-396.42226,47,24.510447
-111.345583,47,24.566012
-831.462347,47,24.625366
-30.796339,47,24.676721
-25.767726,47,24.734478
-177.531611,47,24.792018
-1498.419338,47,24.842565
-337.947194,47,24.895048
-2159.731829,47,24.950436
54.075974,47,25.00794
-75.156637,47,25.058333
-6.38104,47,25.10917
10.15,47,25.16734
-398.731442,47,25.220617
-835.609996,47,25.272225
37.657945,47,25.326263
-268.608518,47,25.38205
-1580.456076,47,25.435806
-326.494824,47,25.4921
-63.449376,47,25.545604
55.0,47,25.598735
33.313594,47,25.653419
-245.552487,47,25.708225
-339.149592,47,25.75871
-388.950223,47,25.813234
-35.540222,47,25.869819
-96.395206,47,25.920539
-21.053671,47,25.971071
-254.518266,47,26.026876
-342.7206,47,26.082549
-95.036266,47,26.135436
-71.339285,47,26.184601
-498.726152,47,26.237017
-124.665408,47,26.292389
-417.590531,47,26.349663
-450.631831,47,26.400153
-326.488623,47,26.460191
2.05,47,26.514078
-137.553469,47,26.567958
20.410209,47,26.6201
26.592799,47,26.67732
-21.202129,47,26.73506
19.002,47,26.788117
51.8,47,26.841006
82.6,47,26.893444
-3.157447,47,26.950419
-287.506304,47,27.003127
-0.165356,47,27.055379
34.75,47,27.108122
5.870598,47,27.165817
-196.755264,47,27.218696
-35.780257,47,27.268265
9.048103,47,27.325494
26.104735,47,27.381199
26.9,47,27.434113
-62.743246,47,27.4866
-351.692638,47,27.539739
-82.085491,47,27.595106
52.4,47,27.648189
22.753909,47,27.70097
34.45,47,27.757337
20.538571,47,27.811161
70.35,47,27.866732
60.051509,47,27.92371
76.35,47,27.984213
54.370275,47,28.035988
-160.052365,47,28.091574
-4116.478551,47,28.146917
34.989995,47,28.20745
60.27752,47,28.261322
15.607764,47,28.317008
1.357533,47,28.373179
-11.311435,47,28.427789
-11.684922,47,28.481731
24.4,47,28.532246
-47.850792,47,28.585232
-86.207589,47,28.641733
-5.114509,47,28.696583
4.8,47,28.75166
-429.011691,47,28.804251
-129.081006,47,28.859328
-339.440624,47,28.913724
-31.479583,47,28.968761
-7.888361,47,29.02418
-291.465679,47,29.08211
-66.331373,47,29.137788
-174.964596,47,29.194039
-734.309975,47,29.245298
-799.36754,47,29.305942
-697.540375,47,29.365064
41.55,47,29.423899
-406.480608,47,29.47919
-160.494532,47,29.539505
42.0,47,29.59802
1.808092,47,29.656945
27.1,47,29.707935
54.5,47,29.770995
53.6,47,29.833015
30.31516,47,29.890493
-12.187382,47,29.945463
52.45,47,30.005836
44.9,47,30.062104
-831.785228,47,30.121774
-74.837785,47,30.176277
-1456.563369,47,30.237349
-2491.378892,47,30.293032
77.45,47,30.349627
43.05,47,30.410395
34.5,47,30.468224
63.356618,47,30.522858
-883.388969,47,30.5818
-54.958019,47,30.635229
-313.820454,47,30.695565
17.0,47,30.751965
-36.736509,47,30.809964
-46.040707,47,30.864971
15.372407,47,30.926665
6.747582,47,30.982927
-120.860084,47,31.040114
28.15,47,31.092867
-5.546532,47,31.152707
-115.501976,47,31.21275
15.05,47,31.269025
-12.327898,47,31.321581
26.925814,47,31.378503
-761.208418,47,31.437793
69.75,47,31.498026
-230.686498,47,31.548864
-7.816953,47,31.607974
-512.016201,47,31.666775
-2.07616,47,31.725123
16.6,47,31.781803
-12.45984,47,31.843907
-332.33358,47,31.901331
-299.029536,47,31.957155
-993.30723,47,32.016853
26.982901,47,32.079055
-14.213652,47,32.137428
-182.138482,47,32.189045
8.274678,47,32.242881
-545.609874,47,32.300978
-206.219375,47,32.35718
57.4,47,32.414904
-304.45293,47,32.470181
-952.142894,47,32.527962
-368.178787,47,32.5847
-110.422306,47,32.640239
51.272117,47,32.696459
39.206843,47,32.753814
